event,player,country,position,minutes_played,goals,assists,top_speed,distance,shots,shots_on_target,shots_off_target,shots_blocked
Euro 2024,Mitaj,Albania,Defender,270,0,0,32.1,30.8,1,0,1,0
Euro 2024,Djimsiti,Albania,Defender,270,0,0,30,29.8,2,0,2,0
Euro 2024,Asllani,Albania,Midfielder,270,0,0,29.6,36.1,8,3,2,3
Euro 2024,Arlind Ajeti,Albania,Defender,270,0,0,29.4,28,0,0,0,0
Euro 2024,Strakosha,Albania,Goalkeeper,270,0,0,24.2,15.7,0,0,0,0
Euro 2024,Ramadani,Albania,Midfielder,265,0,0,30.2,37.5,0,0,0,0
Euro 2024,Bajrami,Albania,Midfielder,248,1,0,34.8,29.1,3,1,1,1
Euro 2024,Asani,Albania,Forward,214,0,1,31.4,26.4,4,1,1,2
Euro 2024,Hysaj,Albania,Defender,180,0,0,31.8,20.7,2,0,1,1
Euro 2024,Laci,Albania,Midfielder,165,1,0,31.9,21.8,1,1,0,0
Euro 2024,Manaj,Albania,Forward,156,0,0,31.5,18.4,3,2,0,1
Euro 2024,Broja,Albania,Forward,109,0,0,33.1,12.9,2,2,0,0
Euro 2024,Seferi,Albania,Midfielder,94,0,0,33.6,11.3,1,1,0,0
Euro 2024,Balliu,Albania,Defender,90,0,0,31.6,10.7,0,0,0,0
Euro 2024,Hoxha,Albania,Forward,46,0,0,33.2,7.5,2,1,1,0
Euro 2024,Berisha,Albania,Forward,19,0,0,28.6,3.1,1,0,0,1
Euro 2024,Gjasula,Albania,Midfielder,18,1,0,25.2,2.9,2,1,0,1
Euro 2024,Muci,Albania,Midfielder,11,0,0,28.3,2.9,0,0,0,0
Euro 2024,Daku,Albania,Forward,5,0,0,31.3,1.5,1,0,0,1
Euro 2024,Sabitzer,Austria,Midfielder,360,1,0,33.2,43.9,12,3,2,7
Euro 2024,Posch,Austria,Defender,360,0,1,31.6,44.1,7,3,2,2
Euro 2024,Seiwald,Austria,Midfielder,360,0,0,32.3,45.4,1,1,0,0
Euro 2024,Pentz,Austria,Goalkeeper,360,0,0,27.3,23.6,0,0,0,0
Euro 2024,Baumgartner,Austria,Midfielder,289,1,1,31.5,36.4,8,4,4,0
Euro 2024,Arnautovic,Austria,Forward,280,1,0,32.4,30.9,4,3,0,1
Euro 2024,Laimer,Austria,Midfielder,271,0,0,33.4,33.3,2,0,2,0
Euro 2024,Lienhart,Austria,Defender,216,0,0,32.5,24.7,2,0,1,1
Euro 2024,Danso,Austria,Defender,211,0,0,33.3,24.5,1,0,1,0
Euro 2024,Mwene,Austria,Defender,196,0,1,32.2,22.5,0,0,0,0
Euro 2024,Grillitsch,Austria,Midfielder,192,0,1,30.8,24.9,5,2,1,2
Euro 2024,Wober,Austria,Defender,175,0,0,33.1,21.2,0,0,0,0
Euro 2024,Prass,Austria,Midfielder,164,0,2,32.6,21.5,1,0,1,0
Euro 2024,Schmid,Austria,Midfielder,144,1,0,31.7,18.4,1,1,0,0
Euro 2024,Wimmer,Austria,Midfielder,138,0,0,33.5,16.5,3,2,0,1
