id,class,age,sex,survived
1,first,adult,male,yes
2,first,adult,male,yes
3,first,adult,male,yes
4,first,adult,male,yes
5,first,adult,male,yes
6,first,adult,male,yes
7,first,adult,male,yes
8,first,adult,male,yes
9,first,adult,male,yes
10,first,adult,male,yes
11,first,adult,male,yes
12,first,adult,male,yes
13,first,adult,male,yes
14,first,adult,male,yes
15,first,adult,male,yes
16,first,adult,male,yes
17,first,adult,male,yes
18,first,adult,male,yes
19,first,adult,male,yes
20,first,adult,male,yes
21,first,adult,male,yes
22,first,adult,male,yes
23,first,adult,male,yes
24,first,adult,male,yes
25,first,adult,male,yes
26,first,adult,male,yes
27,first,adult,male,yes
28,first,adult,male,yes
29,first,adult,male,yes
30,first,adult,male,yes
31,first,adult,male,yes
32,first,adult,male,yes
33,first,adult,male,yes
34,first,adult,male,yes
35,first,adult,male,yes
36,first,adult,male,yes
37,first,adult,male,yes
38,first,adult,male,yes
39,first,adult,male,yes
40,first,adult,male,yes
41,first,adult,male,yes
42,first,adult,male,yes
43,first,adult,male,yes
44,first,adult,male,yes
45,first,adult,male,yes
46,first,adult,male,yes
47,first,adult,male,yes
48,first,adult,male,yes
49,first,adult,male,yes
50,first,adult,male,yes
51,first,adult,male,yes
52,first,adult,male,yes
53,first,adult,male,yes
54,first,adult,male,yes
55,first,adult,male,yes
56,first,adult,male,yes
57,first,adult,male,yes
58,first,adult,male,no
59,first,adult,male,no
60,first,adult,male,no
61,first,adult,male,no
62,first,adult,male,no
63,first,adult,male,no
64,first,adult,male,no
65,first,adult,male,no
66,first,adult,male,no
67,first,adult,male,no
68,first,adult,male,no
69,first,adult,male,no
70,first,adult,male,no
71,first,adult,male,no
72,first,adult,male,no
73,first,adult,male,no
74,first,adult,male,no
75,first,adult,male,no
76,first,adult,male,no
77,first,adult,male,no
78,first,adult,male,no
79,first,adult,male,no
80,first,adult,male,no
81,first,adult,male,no
82,first,adult,male,no
83,first,adult,male,no
84,first,adult,male,no
85,first,adult,male,no
86,first,adult,male,no
87,first,adult,male,no
88,first,adult,male,no
89,first,adult,male,no
90,first,adult,male,no
91,first,adult,male,no
92,first,adult,male,no
93,first,adult,male,no
94,first,adult,male,no
95,first,adult,male,no
96,first,adult,male,no
97,first,adult,male,no
98,first,adult,male,no
99,first,adult,male,no
100,first,adult,male,no
101,first,adult,male,no
102,first,adult,male,no
103,first,adult,male,no
